date,close,low,high,open,volume
20161125,111.7900,111.8700,110.9500,111.1300,11424400
20161128,111.5700,112.4700,111.3900,111.4300,27026600
20161129,111.4600,112.0300,110.0700,110.7800,28459300
20161130,110.5200,112.2000,110.2700,111.6000,35765000
20161201,109.4900,110.9400,109.0300,110.3700,36825800
20161202,109.9000,110.0900,108.8500,109.1700,26409800
20161205,109.1100,110.0300,108.2500,110.0000,34037300
20161206,109.9500,110.3600,109.1900,109.5000,26075900
20161207,111.0300,111.1900,109.1600,109.2600,29853000
20161208,112.1200,112.4300,110.6000,110.8600,26818500
20161209,113.9500,114.7000,112.3100,112.3100,34274100
20161212,113.3000,115.0000,112.4900,113.2900,26149100
20161213,115.1900,115.9200,113.7500,113.8400,43167500
20161214,115.1900,116.2000,114.9800,115.0400,33433200
20161215,115.8200,116.7300,115.2300,115.3800,46232200
20161216,115.9700,116.5000,115.6500,116.4700,44055400
20161219,116.6400,117.3800,115.7500,115.8000,27675400
20161220,116.9500,117.5000,116.6800,116.7400,20905800
20161221,117.0600,117.4000,116.7800,116.8000,24216900
20161222,116.2900,116.5100,115.6400,116.3500,25789800
20161223,116.5200,116.5200,115.5900,115.5900,14181200
20161227,117.2600,117.8000,116.4900,116.5200,18071900
20161228,116.7600,118.0200,116.2000,117.5200,20582000
20161229,116.7300,117.1100,116.4000,116.4500,14963300
20161230,115.8200,117.2000,115.4300,116.6500,30253100
20170103,116.1500,116.3300,114.7600,115.8000,28509500
20170104,116.0200,116.5100,115.7500,115.8500,20858700
20170105,116.6100,116.8600,115.8100,115.9200,22103700
20170106,117.9100,118.1600,116.4700,116.7800,31577900
20170109,118.9900,119.4300,117.9400,117.9500,33387600
